Module Name,Module Type,Port Name,Direction,Width,Index,Comment Source,Comment 
dfd_top,Top_Level,external_action_trace_start,OUTPUT,1,-,module port,So CLA can notify other Ntrace/D...
dfd_top,Top_Level,external_action_trace_stop,OUTPUT,1,-,module port,So CLA can notify other Ntrace/D...
dfd_top,Top_Level,external_action_trace_pulse,OUTPUT,1,-,module port,So CLA can notify other Ntrace/D...
dfd_top,Top_Level,external_action_halt_clock_out,OUTPUT,1,-,-,-
dfd_top,Top_Level,external_action_halt_clock_local_out,OUTPUT,1,-,-,-
dfd_top,Top_Level,external_action_debug_interrupt_out,OUTPUT,1,-,-,-
dfd_top,Top_Level,external_action_toggle_gpio_out,OUTPUT,1,-,-,-
dfd_top,Top_Level,external_action_custom,OUTPUT,16,[0:0][15:0],-,-
dfd_top,Top_Level,timesync_cla_timestamp,OUTPUT,64,(64)[0:0],-,-
dfd_top,Top_Level,external_cla_action_trace_start,INPUT,1,-,module port,verilint W240 off
dfd_top,Top_Level,external_cla_action_trace_stop,INPUT,1,-,-,-
dfd_top,Top_Level,external_cla_action_trace_pulse,INPUT,1,-,-,-
dfd_top,Top_Level,IRetire,INPUT,10,[0:0][1:0][4:0],module port,NTRACE
dfd_top,Top_Level,IType,INPUT,6,[0:0][1:0][2:0],-,-
dfd_top,Top_Level,IAddr,INPUT,126,[0:0][1:0][63:1],-,-
dfd_top,Top_Level,ILastSize,INPUT,2,[0:0][1:0],-,-
dfd_top,Top_Level,Tstamp,INPUT,64,[0:0][63:0],-,-
dfd_top,Top_Level,Priv,INPUT,3,[0:0],-,-
dfd_top,Top_Level,Context,INPUT,32,[0:0][31:0],-,-
dfd_top,Top_Level,Tval,INPUT,64,[0:0][63:0],-,-
dfd_top,Top_Level,Error,INPUT,1,-,-,-
dfd_top,Top_Level,Active,OUTPUT,1,-,-,-
dfd_top,Top_Level,StallModeEn,OUTPUT,1,-,-,-
dfd_top,Top_Level,StartStop,OUTPUT,1,-,-,-
dfd_top,Top_Level,Backpressure,OUTPUT,1,-,-,-
dfd_top,Top_Level,TrigControl,INPUT,2,[0:0],-,-
dfd_top,Top_Level,CoreTime,INPUT,64,(64)[0:0],module port,Timestamp value for DST
dfd_top,Top_Level,TR_EXT_SlvReq,OUTPUT,794,(105 + 1 + 585 + 1 + 1 + 99 + 1 + 1),module port,AXI Interface the External Memory
dfd_top,Top_Level,EXT_TR_SlvResp,INPUT,558,(1 + 1 + 1 + 1 + 20 + 1 + 533),-,-
dfd_top,Top_Level,JT_TR_SlvReq,INPUT,792,(104 + 1 + 585 + 1 + 1 + 98 + 1 + 1),module port,JTAG-AXI Control Interface for T...
dfd_top,Top_Level,TR_JT_SlvResp,OUTPUT,556,(1 + 1 + 1 + 1 + 19 + 1 + 532),-,-
dfd_top,Top_Level,tnif_tr_gnt_i,INPUT,2,[1:0],module port,verilint W240 off
dfd_top,Top_Level,tnif_dst_bp_i,INPUT,2,[1:0],-,-
dfd_top,Top_Level,tnif_ntr_bp_i,INPUT,2,[1:0],-,-
dfd_top,Top_Level,tnif_dst_flush_i,INPUT,2,[1:0],-,-
dfd_top,Top_Level,tnif_ntr_flush_i,INPUT,2,[1:0],-,-
dfd_top,Top_Level,tnif_tr_vld_o,OUTPUT,2,[1:0],module port,verilint W240 on
dfd_top,Top_Level,tnif_tr_src_o,OUTPUT,2,[1:0],-,-
dfd_top,Top_Level,tnif_tr_data_o,OUTPUT,256,[1:0][127:0],-,-
dfd_top,Top_Level,DfdCsrs_external,INPUT,33883,(680 + 1008 + 31192 + 875 + 128),module port,External MMRs
dfd_top,Top_Level,DfdCsrsWr_external,OUTPUT,13525,(552 + 680 + 11576 + 717),-,-
dfd_top,Top_Level,paddr,INPUT,23,[22:0],module port,APB Interface
dfd_top,Top_Level,psel,INPUT,1,-,-,-
dfd_top,Top_Level,penable,INPUT,1,-,-,-
dfd_top,Top_Level,pstrb,INPUT,4,[3:0],-,-
dfd_top,Top_Level,pwrite,INPUT,1,-,-,-
dfd_top,Top_Level,pwdata,INPUT,32,[31:0],-,-
dfd_top,Top_Level,pready,OUTPUT,1,-,-,-
dfd_top,Top_Level,prdata,OUTPUT,32,[31:0],-,-
dfd_top,Top_Level,pslverr,OUTPUT,1,-,-,-
