IO Definitions
Pin,Direction,Range,Type,Reference Clock,Registered,Internally Synchronized,IO Delay,Mode,Description
Current Scope,Element Count,Level Shifter Strategies,Repeater Strategies,Isolation Strategies,Retention Strategies,Power Switch Strategies,Power,Ground,Pwell,Nwell
*** VCLP PowerDomainStats data not available. Please refer to documentation for help

 VCLP UPF Statistics 
Statistics,Value
*** VCLP UPFStats data not available. Please refer to documentation for help

Constraints
Ports constrained -% 
Registers constrained -% 
Exception Type,Total Number of exceptions
*** Constraints data not available. Please refer to documentation for help
*** FP/MCP data not available.Please refer to documentation for help

Testability 
*** Undetected Faults data not available.
*** Transition Faults data not available. Please refer to documentation for help
Testability,Fault Coverage,Test Coverage
Stuck-at Test,-%,-% 
Transition Fault,-%,-% 

Design Statistics
*** Gate counts not available. Please refer to documentation for help
*** Audit counts not available. Please refer to documentation for help
Statistic,Count
Synthesizable gates (NAND2 equivalent),-
Registers,-
Latches,-
Tristates,-

Black Boxes (Analog, Mixed-Signal, Memory, Custom IP)
Name,Number of Ports
